"","token","frequency","sentiment_tag"
"1","scam",0.00447861604289709,"negative"
"2","wrong",0.00225648949004236,"negative"
"3","crash",0.00208868556731994,"negative"
"4","bad",0.0020648320782411,"negative"
"5","problem",0.00206382369464371,"negative"
"6","people",0.00205973207508769,"negative"
"7","shit",0.00192297022146607,"negative"
"8","attack",0.00191155518574656,"negative"
"9","fuck",0.00179445847197016,"negative"
"10","ban",0.00172884306802105,"negative"
"11","bitcoin",0.0107983319969788,"neutral"
"12","cur",0.0021125294553664,"neutral"
"13","btc",0.00204181835163198,"neutral"
"14","crypto",0.00140905929227059,"neutral"
"15","price",0.00116298903251149,"neutral"
"16","buy",0.000992099360509885,"neutral"
"17","new",0.000854534875048369,"neutral"
"18","cryptocurrency",0.000852374971694582,"neutral"
"19","coinbase",0.000812332781835725,"neutral"
"20","blockchain",0.00080982269964708,"neutral"
"21","best",0.00329437666576721,"positive"
"22","good",0.00318390935672627,"positive"
"23","free",0.00302468380312159,"positive"
"24","like",0.00289701015007031,"positive"
"25","help",0.00278485701841441,"positive"
"26","would",0.00212024279931258,"positive"
"27","get",0.00181563710889552,"positive"
"28","better",0.00139910194839013,"positive"
"29","great",0.00131673762818713,"positive"
"30","value",0.00122505205635668,"positive"
